,PRECINCT_NUMBER,PARTY,VOTES,CANDIDATE
0,1,,3568,REGISTERED VOTERS - TOTAL
1,2,,843,REGISTERED VOTERS - TOTAL
2,3,,2413,REGISTERED VOTERS - TOTAL
3,4,,2635,REGISTERED VOTERS - TOTAL
4,5,,3929,REGISTERED VOTERS - TOTAL
5,6,,5482,REGISTERED VOTERS - TOTAL
6,7,,2131,REGISTERED VOTERS - TOTAL
7,8,,3892,REGISTERED VOTERS - TOTAL
8,9,,2222,REGISTERED VOTERS - TOTAL
9,10,,3272,REGISTERED VOTERS - TOTAL
10,11,,5874,REGISTERED VOTERS - TOTAL
11,12,,938,REGISTERED VOTERS - TOTAL
12,13,,2002,REGISTERED VOTERS - TOTAL
13,14,,4230,REGISTERED VOTERS - TOTAL
14,15,,4225,REGISTERED VOTERS - TOTAL
15,16,,4216,REGISTERED VOTERS - TOTAL
16,17,,6287,REGISTERED VOTERS - TOTAL
17,18,,4605,REGISTERED VOTERS - TOTAL
18,19,,4672,REGISTERED VOTERS - TOTAL
19,20,,2196,REGISTERED VOTERS - TOTAL
20,21,,1951,REGISTERED VOTERS - TOTAL
21,22,,4327,REGISTERED VOTERS - TOTAL
22,23,,3140,REGISTERED VOTERS - TOTAL
23,24,,3279,REGISTERED VOTERS - TOTAL
24,25,,5390,REGISTERED VOTERS - TOTAL
25,26,,4056,REGISTERED VOTERS - TOTAL
26,27,,3322,REGISTERED VOTERS - TOTAL
27,28,,4285,REGISTERED VOTERS - TOTAL
28,29,,2231,REGISTERED VOTERS - TOTAL
29,30,,1974,REGISTERED VOTERS - TOTAL
30,31,,3551,REGISTERED VOTERS - TOTAL
31,32,,3851,REGISTERED VOTERS - TOTAL
32,33,,4126,REGISTERED VOTERS - TOTAL
33,34,,4914,REGISTERED VOTERS - TOTAL
34,35,,4530,REGISTERED VOTERS - TOTAL
35,36,,5313,REGISTERED VOTERS - TOTAL
36,37,,3895,REGISTERED VOTERS - TOTAL
37,38,,3390,REGISTERED VOTERS - TOTAL
38,39,,4992,REGISTERED VOTERS - TOTAL
39,40,,4908,REGISTERED VOTERS - TOTAL
40,41,,4066,REGISTERED VOTERS - TOTAL
41,42,,2161,REGISTERED VOTERS - TOTAL
42,43,,1989,REGISTERED VOTERS - TOTAL
43,44,,3783,REGISTERED VOTERS - TOTAL
44,45,,2789,REGISTERED VOTERS - TOTAL
45,46,,3775,REGISTERED VOTERS - TOTAL
46,47,,3806,REGISTERED VOTERS - TOTAL
47,48,,3608,REGISTERED VOTERS - TOTAL
48,49,,1043,REGISTERED VOTERS - TOTAL
49,50,,2920,REGISTERED VOTERS - TOTAL
50,51,,4558,REGISTERED VOTERS - TOTAL
51,52,,1836,REGISTERED VOTERS - TOTAL
52,53,,1576,REGISTERED VOTERS - TOTAL
53,54,,3055,REGISTERED VOTERS - TOTAL
54,55,,3313,REGISTERED VOTERS - TOTAL
55,56,,4038,REGISTERED VOTERS - TOTAL
56,57,,3303,REGISTERED VOTERS - TOTAL
57,58,,2859,REGISTERED VOTERS - TOTAL
58,59,,3277,REGISTERED VOTERS - TOTAL
59,60,,2940,REGISTERED VOTERS - TOTAL
60,61,,2070,REGISTERED VOTERS - TOTAL
61,62,,3895,REGISTERED VOTERS - TOTAL
62,63,,4030,REGISTERED VOTERS - TOTAL
63,64,,2811,REGISTERED VOTERS - TOTAL
64,65,,3217,REGISTERED VOTERS - TOTAL
65,66,,5434,REGISTERED VOTERS - TOTAL
66,67,,3609,REGISTERED VOTERS - TOTAL
67,68,,2551,REGISTERED VOTERS - TOTAL
68,69,,2644,REGISTERED VOTERS - TOTAL
69,70,,1947,REGISTERED VOTERS - TOTAL
70,71,,3058,REGISTERED VOTERS - TOTAL
71,72,,5225,REGISTERED VOTERS - TOTAL
72,73,,2431,REGISTERED VOTERS - TOTAL
73,74,,4914,REGISTERED VOTERS - TOTAL
74,75,,3580,REGISTERED VOTERS - TOTAL
75,76,,1303,REGISTERED VOTERS - TOTAL
76,77,,3517,REGISTERED VOTERS - TOTAL
77,78,,3279,REGISTERED VOTERS - TOTAL
78,79,,2453,REGISTERED VOTERS - TOTAL
79,80,,1656,REGISTERED VOTERS - TOTAL
80,81,,5845,REGISTERED VOTERS - TOTAL
81,82,,3125,REGISTERED VOTERS - TOTAL
82,83,,4137,REGISTERED VOTERS - TOTAL
83,84,,2873,REGISTERED VOTERS - TOTAL
84,85,,3978,REGISTERED VOTERS - TOTAL
85,86,,2957,REGISTERED VOTERS - TOTAL
86,87,,3775,REGISTERED VOTERS - TOTAL
87,88,,2851,REGISTERED VOTERS - TOTAL
88,89,,3960,REGISTERED VOTERS - TOTAL
89,90,,2235,REGISTERED VOTERS - TOTAL
90,91,,5064,REGISTERED VOTERS - TOTAL
91,92,,1962,REGISTERED VOTERS - TOTAL
92,93,,1799,REGISTERED VOTERS - TOTAL
93,94,,2302,REGISTERED VOTERS - TOTAL
94,95,,1997,REGISTERED VOTERS - TOTAL
95,96,,2778,REGISTERED VOTERS - TOTAL
96,97,,1683,REGISTERED VOTERS - TOTAL
97,98,,2168,REGISTERED VOTERS - TOTAL
98,99,,1707,REGISTERED VOTERS - TOTAL
99,100,,2212,REGISTERED VOTERS - TOTAL
100,101,,1925,REGISTERED VOTERS - TOTAL
101,102,,2771,REGISTERED VOTERS - TOTAL
102,103,,4217,REGISTERED VOTERS - TOTAL
103,104,,3077,REGISTERED VOTERS - TOTAL
104,105,,2775,REGISTERED VOTERS - TOTAL
105,106,,3500,REGISTERED VOTERS - TOTAL
106,107,,2089,REGISTERED VOTERS - TOTAL
107,108,,1371,REGISTERED VOTERS - TOTAL
108,109,,1192,REGISTERED VOTERS - TOTAL
109,110,,4673,REGISTERED VOTERS - TOTAL
110,111,,2734,REGISTERED VOTERS - TOTAL
111,112,,2446,REGISTERED VOTERS - TOTAL
112,113,,2634,REGISTERED VOTERS - TOTAL
113,114,,3738,REGISTERED VOTERS - TOTAL
114,115,,3502,REGISTERED VOTERS - TOTAL
115,116,,4637,REGISTERED VOTERS - TOTAL
116,117,,1969,REGISTERED VOTERS - TOTAL
