,ELECTION_DATE,ELECTION_NAME,CONTEST_ID,PRECINCT_NUMBER,WARD,PRIMARY_PARTY,VOTES
0,2010-09-14 00:00:00,Mayoral Primary,,1,6,Democratic,72
1,2010-09-14 00:00:00,Mayoral Primary,,2,2,Democratic,13
2,2010-09-14 00:00:00,Mayoral Primary,,3,2,Democratic,55
3,2010-09-14 00:00:00,Mayoral Primary,,4,2,Democratic,60
4,2010-09-14 00:00:00,Mayoral Primary,,5,2,Democratic,100
5,2010-09-14 00:00:00,Mayoral Primary,,6,2,Democratic,92
6,2010-09-14 00:00:00,Mayoral Primary,,7,3,Democratic,64
7,2010-09-14 00:00:00,Mayoral Primary,,8,3,Democratic,209
8,2010-09-14 00:00:00,Mayoral Primary,,9,3,Democratic,73
9,2010-09-14 00:00:00,Mayoral Primary,,10,3,Democratic,96
10,2010-09-14 00:00:00,Mayoral Primary,,11,3,Democratic,146
11,2010-09-14 00:00:00,Mayoral Primary,,12,3,Democratic,33
12,2010-09-14 00:00:00,Mayoral Primary,,13,2,Democratic,56
13,2010-09-14 00:00:00,Mayoral Primary,,14,2,Democratic,93
14,2010-09-14 00:00:00,Mayoral Primary,,15,2,Democratic,102
15,2010-09-14 00:00:00,Mayoral Primary,,16,2,Democratic,102
16,2010-09-14 00:00:00,Mayoral Primary,,17,2,Democratic,142
17,2010-09-14 00:00:00,Mayoral Primary,,18,2,Democratic,97
18,2010-09-14 00:00:00,Mayoral Primary,,19,5,Democratic,108
19,2010-09-14 00:00:00,Mayoral Primary,,20,1,Democratic,34
20,2010-09-14 00:00:00,Mayoral Primary,,21,2,Democratic,40
21,2010-09-14 00:00:00,Mayoral Primary,,22,1,Democratic,111
22,2010-09-14 00:00:00,Mayoral Primary,,23,1,Democratic,69
23,2010-09-14 00:00:00,Mayoral Primary,,24,1,Democratic,88
24,2010-09-14 00:00:00,Mayoral Primary,,25,1,Democratic,173
25,2010-09-14 00:00:00,Mayoral Primary,,26,3,Democratic,132
26,2010-09-14 00:00:00,Mayoral Primary,,27,3,Democratic,129
27,2010-09-14 00:00:00,Mayoral Primary,,28,3,Democratic,106
28,2010-09-14 00:00:00,Mayoral Primary,,29,3,Democratic,62
29,2010-09-14 00:00:00,Mayoral Primary,,30,3,Democratic,103
30,2010-09-14 00:00:00,Mayoral Primary,,31,3,Democratic,168
31,2010-09-14 00:00:00,Mayoral Primary,,32,3,Democratic,193
32,2010-09-14 00:00:00,Mayoral Primary,,33,3,Democratic,168
33,2010-09-14 00:00:00,Mayoral Primary,,34,3,Democratic,129
34,2010-09-14 00:00:00,Mayoral Primary,,35,1,Democratic,104
35,2010-09-14 00:00:00,Mayoral Primary,,36,1,Democratic,102
36,2010-09-14 00:00:00,Mayoral Primary,,37,1,Democratic,77
37,2010-09-14 00:00:00,Mayoral Primary,,38,1,Democratic,81
38,2010-09-14 00:00:00,Mayoral Primary,,39,1,Democratic,148
39,2010-09-14 00:00:00,Mayoral Primary,,40,1,Democratic,129
40,2010-09-14 00:00:00,Mayoral Primary,,41,1,Democratic,72
41,2010-09-14 00:00:00,Mayoral Primary,,42,1,Democratic,44
42,2010-09-14 00:00:00,Mayoral Primary,,43,1,Democratic,52
43,2010-09-14 00:00:00,Mayoral Primary,,44,5,Democratic,85
44,2010-09-14 00:00:00,Mayoral Primary,,45,4,Democratic,59
45,2010-09-14 00:00:00,Mayoral Primary,,46,4,Democratic,73
46,2010-09-14 00:00:00,Mayoral Primary,,47,4,Democratic,122
47,2010-09-14 00:00:00,Mayoral Primary,,48,4,Democratic,145
48,2010-09-14 00:00:00,Mayoral Primary,,49,4,Democratic,15
49,2010-09-14 00:00:00,Mayoral Primary,,50,3,Democratic,134
50,2010-09-14 00:00:00,Mayoral Primary,,51,4,Democratic,315
51,2010-09-14 00:00:00,Mayoral Primary,,52,4,Democratic,124
52,2010-09-14 00:00:00,Mayoral Primary,,53,4,Democratic,59
53,2010-09-14 00:00:00,Mayoral Primary,,54,4,Democratic,111
54,2010-09-14 00:00:00,Mayoral Primary,,55,4,Democratic,71
55,2010-09-14 00:00:00,Mayoral Primary,,56,4,Democratic,110
56,2010-09-14 00:00:00,Mayoral Primary,,57,4,Democratic,69
57,2010-09-14 00:00:00,Mayoral Primary,,58,4,Democratic,75
58,2010-09-14 00:00:00,Mayoral Primary,,59,4,Democratic,87
59,2010-09-14 00:00:00,Mayoral Primary,,60,4,Democratic,80
60,2010-09-14 00:00:00,Mayoral Primary,,61,4,Democratic,115
61,2010-09-14 00:00:00,Mayoral Primary,,62,4,Democratic,321
62,2010-09-14 00:00:00,Mayoral Primary,,63,4,Democratic,168
63,2010-09-14 00:00:00,Mayoral Primary,,64,4,Democratic,98
64,2010-09-14 00:00:00,Mayoral Primary,,65,4,Democratic,113
65,2010-09-14 00:00:00,Mayoral Primary,,66,5,Democratic,177
66,2010-09-14 00:00:00,Mayoral Primary,,67,5,Democratic,135
67,2010-09-14 00:00:00,Mayoral Primary,,68,5,Democratic,81
68,2010-09-14 00:00:00,Mayoral Primary,,69,5,Democratic,80
69,2010-09-14 00:00:00,Mayoral Primary,,70,5,Democratic,64
70,2010-09-14 00:00:00,Mayoral Primary,,71,5,Democratic,66
71,2010-09-14 00:00:00,Mayoral Primary,,72,5,Democratic,105
72,2010-09-14 00:00:00,Mayoral Primary,,73,5,Democratic,83
73,2010-09-14 00:00:00,Mayoral Primary,,74,5,Democratic,101
74,2010-09-14 00:00:00,Mayoral Primary,,75,5,Democratic,53
75,2010-09-14 00:00:00,Mayoral Primary,,76,5,Democratic,22
76,2010-09-14 00:00:00,Mayoral Primary,,77,5,Democratic,65
77,2010-09-14 00:00:00,Mayoral Primary,,78,5,Democratic,43
78,2010-09-14 00:00:00,Mayoral Primary,,79,5,Democratic,32
79,2010-09-14 00:00:00,Mayoral Primary,,80,7,Democratic,37
80,2010-09-14 00:00:00,Mayoral Primary,,81,6,Democratic,119
81,2010-09-14 00:00:00,Mayoral Primary,,82,6,Democratic,70
82,2010-09-14 00:00:00,Mayoral Primary,,83,6,Democratic,103
83,2010-09-14 00:00:00,Mayoral Primary,,84,6,Democratic,81
84,2010-09-14 00:00:00,Mayoral Primary,,85,6,Democratic,111
85,2010-09-14 00:00:00,Mayoral Primary,,86,6,Democratic,94
86,2010-09-14 00:00:00,Mayoral Primary,,87,6,Democratic,96
87,2010-09-14 00:00:00,Mayoral Primary,,88,6,Democratic,96
88,2010-09-14 00:00:00,Mayoral Primary,,89,6,Democratic,116
89,2010-09-14 00:00:00,Mayoral Primary,,90,6,Democratic,83
90,2010-09-14 00:00:00,Mayoral Primary,,91,6,Democratic,134
91,2010-09-14 00:00:00,Mayoral Primary,,92,7,Democratic,33
92,2010-09-14 00:00:00,Mayoral Primary,,93,7,Democratic,23
93,2010-09-14 00:00:00,Mayoral Primary,,94,7,Democratic,36
94,2010-09-14 00:00:00,Mayoral Primary,,95,7,Democratic,22
95,2010-09-14 00:00:00,Mayoral Primary,,96,7,Democratic,42
96,2010-09-14 00:00:00,Mayoral Primary,,97,7,Democratic,28
97,2010-09-14 00:00:00,Mayoral Primary,,98,7,Democratic,40
98,2010-09-14 00:00:00,Mayoral Primary,,99,7,Democratic,39
99,2010-09-14 00:00:00,Mayoral Primary,,100,7,Democratic,26
100,2010-09-14 00:00:00,Mayoral Primary,,101,7,Democratic,40
101,2010-09-14 00:00:00,Mayoral Primary,,102,7,Democratic,54
102,2010-09-14 00:00:00,Mayoral Primary,,103,7,Democratic,70
103,2010-09-14 00:00:00,Mayoral Primary,,104,7,Democratic,38
104,2010-09-14 00:00:00,Mayoral Primary,,105,7,Democratic,49
105,2010-09-14 00:00:00,Mayoral Primary,,106,7,Democratic,61
106,2010-09-14 00:00:00,Mayoral Primary,,107,7,Democratic,40
107,2010-09-14 00:00:00,Mayoral Primary,,108,7,Democratic,29
108,2010-09-14 00:00:00,Mayoral Primary,,109,7,Democratic,44
109,2010-09-14 00:00:00,Mayoral Primary,,110,7,Democratic,124
110,2010-09-14 00:00:00,Mayoral Primary,,111,7,Democratic,56
111,2010-09-14 00:00:00,Mayoral Primary,,112,7,Democratic,35
112,2010-09-14 00:00:00,Mayoral Primary,,113,7,Democratic,47
113,2010-09-14 00:00:00,Mayoral Primary,,114,8,Democratic,74
114,2010-09-14 00:00:00,Mayoral Primary,,115,8,Democratic,55
